Model,Label,Sub-label,Value
Extra Trees Classifier,negative,precision,0.7915057915057915
Extra Trees Classifier,negative,recall,0.9111111111111111
Extra Trees Classifier,negative,f1-score,0.8471074380165289
Extra Trees Classifier,negative,support,225.0
Extra Trees Classifier,neutral,precision,0.961352657004831
Extra Trees Classifier,neutral,recall,0.7896825396825397
Extra Trees Classifier,neutral,f1-score,0.8671023965141612
Extra Trees Classifier,neutral,support,252.0
Extra Trees Classifier,positive,precision,0.9881068434392669
Extra Trees Classifier,positive,recall,0.9902305588120359
Extra Trees Classifier,positive,f1-score,0.9891675612374353
Extra Trees Classifier,positive,support,5118.0
Extra Trees Classifier,accuracy,N/A,0.9780160857908847
Extra Trees Classifier,macro avg,precision,0.9136550973166297
Extra Trees Classifier,macro avg,recall,0.8970080698685622
Extra Trees Classifier,macro avg,f1-score,0.9011257985893751
Extra Trees Classifier,macro avg,support,5595.0
Extra Trees Classifier,weighted avg,precision,0.9789956206213026
Extra Trees Classifier,weighted avg,recall,0.9780160857908847
Extra Trees Classifier,weighted avg,f1-score,0.9779568464501307
Extra Trees Classifier,weighted avg,support,5595.0
