Model,Label,Sub-label,Value
Gradient Boosting Classifier,negative,precision,0.2480270574971815
Gradient Boosting Classifier,negative,recall,0.8870967741935484
Gradient Boosting Classifier,negative,f1-score,0.3876651982378854
Gradient Boosting Classifier,negative,support,248.0
Gradient Boosting Classifier,neutral,precision,0.9772727272727273
Gradient Boosting Classifier,neutral,recall,0.17842323651452283
Gradient Boosting Classifier,neutral,f1-score,0.3017543859649123
Gradient Boosting Classifier,neutral,support,241.0
Gradient Boosting Classifier,positive,precision,0.9750974447812906
Gradient Boosting Classifier,positive,recall,0.8899209486166008
Gradient Boosting Classifier,positive,f1-score,0.930564166150031
Gradient Boosting Classifier,positive,support,5060.0
Gradient Boosting Classifier,accuracy,N/A,0.8588934943233015
Gradient Boosting Classifier,macro avg,precision,0.733465743183733
Gradient Boosting Classifier,macro avg,recall,0.651813653108224
Gradient Boosting Classifier,macro avg,f1-score,0.5399945834509429
Gradient Boosting Classifier,macro avg,support,5549.0
Gradient Boosting Classifier,weighted avg,precision,0.9426971541044077
Gradient Boosting Classifier,weighted avg,recall,0.8588934943233015
Gradient Boosting Classifier,weighted avg,f1-score,0.8789905310686064
Gradient Boosting Classifier,weighted avg,support,5549.0
