Model,Label,Sub-label,Value
Random Forest Classifier,negative,precision,0.825
Random Forest Classifier,negative,recall,0.9314516129032258
Random Forest Classifier,negative,f1-score,0.8749999999999999
Random Forest Classifier,negative,support,248.0
Random Forest Classifier,neutral,precision,0.9807692307692307
Random Forest Classifier,neutral,recall,0.8464730290456431
Random Forest Classifier,neutral,f1-score,0.9086859688195991
Random Forest Classifier,neutral,support,241.0
Random Forest Classifier,positive,precision,0.9903181189488244
Random Forest Classifier,positive,recall,0.9905138339920949
Random Forest Classifier,positive,f1-score,0.9904159668016994
Random Forest Classifier,positive,support,5060.0
Random Forest Classifier,accuracy,N/A,0.9816183096053342
Random Forest Classifier,macro avg,precision,0.932029116572685
Random Forest Classifier,macro avg,recall,0.9228128253136546
Random Forest Classifier,macro avg,f1-score,0.9247006452070995
Random Forest Classifier,macro avg,support,5549.0
Random Forest Classifier,weighted avg,precision,0.9825148795272005
Random Forest Classifier,weighted avg,recall,0.9816183096053342
Random Forest Classifier,weighted avg,f1-score,0.9817080754193769
Random Forest Classifier,weighted avg,support,5549.0
