Model,Label,Sub-label,Value
Support Vector Classifier,negative,precision,0.7368421052631579
Support Vector Classifier,negative,recall,0.9491525423728814
Support Vector Classifier,negative,f1-score,0.8296296296296296
Support Vector Classifier,negative,support,236.0
Support Vector Classifier,neutral,precision,0.9888268156424581
Support Vector Classifier,neutral,recall,0.7108433734939759
Support Vector Classifier,neutral,f1-score,0.8271028037383178
Support Vector Classifier,neutral,support,249.0
Support Vector Classifier,positive,precision,0.9868704683519498
Support Vector Classifier,positive,recall,0.987257400509704
Support Vector Classifier,positive,f1-score,0.987063896511172
Support Vector Classifier,positive,support,5101.0
Support Vector Classifier,accuracy,N/A,0.9733261725742929
Support Vector Classifier,macro avg,precision,0.9041797964191886
Support Vector Classifier,macro avg,recall,0.8824177721255205
Support Vector Classifier,macro avg,f1-score,0.8812654432930399
Support Vector Classifier,macro avg,support,5586.0
Support Vector Classifier,weighted avg,precision,0.97639435606881
Support Vector Classifier,weighted avg,recall,0.9733261725742929
Support Vector Classifier,weighted avg,f1-score,0.9732821566106198
Support Vector Classifier,weighted avg,support,5586.0
